command_name	command_description	type	parameters	parameter_type	returns	return_type
Glib.ascii_strup()	Converts all lower case ASCII letters to upper case ASCII letters, with semantics that exactly match ascii_toupper.	function	str, len	str, int	a newly-allocated string, with all the lower case characters in str converted to upper case. (Note that this is unlike the old strup, which modified the string in place.)	str
Glib.ascii_tolower()	Convert a character to ASCII lower case. If the character is not an ASCII upper case letter, it is returned unchanged.	function	c	int	the result of the conversion	int
Glib.ascii_toupper()	Convert a character to ASCII upper case. If the character is not an ASCII lower case letter, it is returned unchanged.	function	c	int	the result of the conversion	int
Glib.ascii_xdigit_value()	Determines the numeric value of a character as a hexadecimal digit. If the character is not a hex digit according to ascii_isxdigit, -1 is returned.	function	c	int	the numerical value of c if it is a hex digit, -1 otherwise	int
Glib.assert_warning()	log_domain	function	log_domain, file, line, pretty_function, expression	str, str, int, str, str		None
Glib.assertion_message()	domain	function	domain, file, line, func, message	str, str, int, str, str		None
Glib.assertion_message_cmpint()	domain	function	domain, file, line, func, expr, arg1, cmp, arg2, numtype	str, str, int, str, str, int, str, int, int		None
Glib.assertion_message_cmpstr()	domain	function	domain, file, line, func, expr, arg1, cmp, arg2	str, str, int, str, str, str, str, str		None
Glib.assertion_message_cmpstrv()	domain	function	domain, file, line, func, expr, arg1, arg2, first_wrong_idx	str, str, int, str, str, str, str, int		None
Glib.assertion_message_error()	domain	function	domain, file, line, func, expr, error, error_domain, error_code	str, str, int, str, str, GError, int, int		None
Glib.async_queue_new()		function	None			AsyncQueue
Glib.async_queue_new_full()	item_free_func	function	item_free_func	Callable[[Any], None] | None		AsyncQueue
Glib.atexit()	Specifies a function to be called at normal program termination.	function	func	Callable[[], None]		None
Glib.atomic_int_add()	Atomically adds val to the value of atomic.	function	atomic, val	int, int	the value of atomic before the add, signed	int
Glib.atomic_int_and()	Performs an atomic bitwise ‘and’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	int, int	the value of atomic before the operation, unsigned	int
Glib.atomic_int_compare_and_exchange()	Compares atomic to oldval and, if equal, sets it to newval. If atomic was not equal to oldval then no change occurs.	function	atomic, oldval, newval	int, int, int	True if the exchange took place	bool
Glib.atomic_int_compare_and_exchange_full()	Compares atomic to oldval and, if equal, sets it to newval. If atomic was not equal to oldval then no change occurs. In any case the value of atomic before this operation is stored in preval.	function	atomic, oldval, newval	int, int, int	True if the exchange took place	tuple[bool, int]
Glib.atomic_int_dec_and_test()	Decrements the value of atomic by 1.	function	atomic	int	True if the resultant value is zero	bool
Glib.atomic_int_exchange()	Sets the atomic to newval and returns the old value from atomic.	function	atomic, newval	int, int	the value of atomic before the exchange, signed	int
Glib.atomic_int_exchange_and_add()	This function existed before atomic_int_add() returned the prior value of the integer (which it now does). It is retained only for compatibility reasons. Don’t use this function in new code.	function	atomic, val	int, int	the value of atomic before the add, signed	int
Glib.atomic_int_get()	Gets the current value of atomic.	function	atomic	int	the value of the integer	int
Glib.atomic_int_inc()	Increments the value of atomic by 1.	function	atomic	int		None
Glib.atomic_int_or()	Performs an atomic bitwise ‘or’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	int, int	the value of atomic before the operation, unsigned	int
Glib.atomic_int_set()	Sets the value of atomic to newval.	function	atomic, newval	int, int		None
Glib.atomic_int_xor()	Performs an atomic bitwise ‘xor’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	int, int	the value of atomic before the operation, unsigned	int
Glib.atomic_pointer_add()	Atomically adds val to the value of atomic.	function	atomic, val	Any, int	the value of atomic before the add, signed	int
Glib.atomic_pointer_and()	Performs an atomic bitwise ‘and’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	Any, int	the value of atomic before the operation, unsigned	int
Glib.atomic_pointer_compare_and_exchange()	Compares atomic to oldval and, if equal, sets it to newval. If atomic was not equal to oldval then no change occurs.	function	atomic, oldval, newval	Any, Any, Any	True if the exchange took place	bool
Glib.atomic_pointer_compare_and_exchange_full()	Compares atomic to oldval and, if equal, sets it to newval. If atomic was not equal to oldval then no change occurs. In any case the value of atomic before this operation is stored in preval.	function	atomic, oldval, newval	Any, Any, Any	True if the exchange took place	tuple[bool, Any]
Glib.atomic_pointer_exchange()	Sets the atomic to newval and returns the old value from atomic.	function	atomic, newval	Any, Any	the value of atomic before the exchange	Any | None
Glib.atomic_pointer_get()	Gets the current value of atomic.	function	atomic	Any	the value of the pointer	Any | None
Glib.atomic_pointer_or()	Performs an atomic bitwise ‘or’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	Any, int	the value of atomic before the operation, unsigned	int
Glib.atomic_pointer_set()	Sets the value of atomic to newval.	function	atomic, newval	Any, Any		None
Glib.atomic_pointer_xor()	Performs an atomic bitwise ‘xor’ of the value of atomic and val, storing the result back in atomic.	function	atomic, val	Any, int	the value of atomic before the operation, unsigned	int
Glib.atomic_rc_box_acquire()	Atomically acquires a reference on the data pointed by mem_block.	function	mem_block	Any	a pointer to the data, with its reference count increased	Any
Glib.atomic_rc_box_alloc()	Allocates block_size bytes of memory, and adds atomic reference counting semantics to it.	function	block_size	int	a pointer to the allocated memory	Any
Glib.atomic_rc_box_alloc0()	Allocates block_size bytes of memory, and adds atomic reference counting semantics to it.	function	block_size	int	a pointer to the allocated memory	Any
Glib.atomic_rc_box_dup()	Allocates a new block of data with atomic reference counting semantics, and copies block_size bytes of mem_block into it.	function	block_size, mem_block	int, Any	a pointer to the allocated memory	Any
Glib.atomic_rc_box_get_size()	Retrieves the size of the reference counted data pointed by mem_block.	function	mem_block	Any	the size of the data, in bytes	int
Glib.atomic_rc_box_release()	Atomically releases a reference on the data pointed by mem_block.	function	mem_block	Any		None
Glib.atomic_rc_box_release_full()	Atomically releases a reference on the data pointed by mem_block.	function	mem_block, clear_func	Any, Callable[[Any], None]		None
Glib.base64_decode()	Decode a sequence of Base-64 encoded text into binary data. Note that the returned binary data is not necessarily zero-terminated, so it should not be used as a character string.	function	text	str	newly allocated buffer containing the binary data that text represents. The returned buffer must be freed with free().	list[int]
Glib.base64_decode_inplace()	Decode a sequence of Base-64 encoded text into binary data by overwriting the input data.	function	text	list[int]	The binary data that text responds. This pointer is the same as the input text.	tuple[int, list[int]]
Glib.base64_encode()	Encode a sequence of binary data into its Base-64 stringified representation.	function	data	list[int] | None	a newly allocated, zero-terminated Base-64 encoded string representing data. The returned string must be freed with free().	str
Glib.base64_encode_close()	Flush the status from a sequence of calls to base64_encode_step().	function	break_lines, state, save	bool, int, int	The number of bytes of output that was written	tuple[int, list[int], int, int]
Glib.base64_encode_step()	Incrementally encode a sequence of binary data into its Base-64 stringified representation. By calling this function multiple times you can convert data in chunks to avoid having to have the full encoded data in memory.	function	in_, break_lines, state, save	list[int], bool, int, int	The number of bytes of output that was written	tuple[int, list[int], int, int]
Glib.basename()	Gets the name of the file without any leading directory components. It returns a pointer into the given file name string.	function	file_name	str	the name of the file without any leading directory components	str
Glib.bit_lock()	Sets the indicated lock_bit in address. If the bit is already set, this call will block until bit_unlock() unsets the corresponding bit.	function	address, lock_bit	int, int		None
Glib.bit_nth_lsf()	Find the position of the first bit set in mask, searching from (but not including) nth_bit upwards. Bits are numbered from 0 (least significant) to sizeof(gulong) * 8 - 1 (31 or 63, usually). To start searching from the 0th bit, set nth_bit to -1.	function	mask, nth_bit	int, int	the index of the first bit set which is higher than nth_bit, or -1 if no higher bits are set	int
Glib.bit_nth_msf()	Find the position of the first bit set in mask, searching from (but not including) nth_bit downwards. Bits are numbered from 0 (least significant) to sizeof(gulong) * 8 - 1 (31 or 63, usually). To start searching from the last bit, set nth_bit to -1 or GLIB_SIZEOF_LONG * 8.	function	mask, nth_bit	int, int	the index of the first bit set which is lower than nth_bit, or -1 if no lower bits are set	int
Glib.bit_storage()	Gets the number of bits used to hold number, e.g. if number is 4, 3 bits are needed.	function	number	int	the number of bits used to hold number	int
Glib.bit_trylock()	Sets the indicated lock_bit in address, returning True if successful. If the bit is already set, returns False immediately.	function	address, lock_bit	int, int	True if the lock was acquired	bool
Glib.bit_unlock()	Clears the indicated lock_bit in address. If another thread is currently blocked in bit_lock() on this same bit then it will be woken up.	function	address, lock_bit	int, int		None
Glib.blow_chunks()		function	None			None
Glib.bookmark_file_error_quark()		function	None			int
Glib.build_filenamev()	Creates a filename from a vector of elements using the correct separator for the current platform.	function	args	list[str]	the newly allocated path	str
Glib.build_pathv()	Behaves exactly like build_path(), but takes the path elements as a string array, instead of variadic arguments.	function	separator, args	str, list[str]	a newly-allocated string that must be freed with free().	str
Glib.byte_array_append()	array	function	array, data, len	list[int], int, int		list[int]
Glib.byte_array_free()	array	function	array, free_segment	list[int], bool		int
Glib.byte_array_free_to_bytes()	array	function	array	list[int]		Bytes
Glib.byte_array_new()		function	None			list[int]
Glib.byte_array_new_take()	data	function	data	list[int]		list[int]
Glib.byte_array_prepend()	array	function	array, data, len	list[int], int, int		list[int]
Glib.byte_array_remove_index()	array	function	array, index_	list[int], int		list[int]
Glib.byte_array_remove_index_fast()	array	function	array, index_	list[int], int		list[int]
Glib.byte_array_remove_range()	array	function	array, index_, length	list[int], int, int		list[int]
Glib.byte_array_set_size()	array	function	array, length	list[int], int		list[int]
Glib.byte_array_sized_new()	reserved_size	function	reserved_size	int		list[int]
Glib.byte_array_sort()	array	function	array, compare_func	list[int], Callable[[Any, Any], int]		None
Glib.byte_array_sort_with_data()	array	function	array, compare_func, user_data	list[int], Callable[[Any, Any, Any], int], Any		None
Glib.canonicalize_filename()	Gets the canonical file name from filename. All triple slashes are turned into single slashes, and all .. and .s resolved against relative_to.	function	filename, relative_to	str, str | None	a newly allocated string with the canonical file path	str
Glib.chdir()	A wrapper for the POSIX chdir() function. The function changes the current directory of the process to path.	function	path	str	0 on success, -1 if an error occurred.	int
Glib.check_version()	Checks that the GLib library in use is compatible with the given version.	function	required_major, required_minor, required_micro	int, int, int	None if the GLib library is compatible with the given version, or a string describing the version mismatch. The returned string is owned by GLib and must not be modified or freed.	str | None
Glib.checksum_type_get_length()	checksum_type	function	checksum_type	ChecksumType		int
Glib.child_watch_add()	Sets a function to be called when the child indicated by pid exits, at a default priority, PRIORITY_DEFAULT.	function	*args, **kwargs	Any, Any	the ID (greater than 0) of the event source.	
Glib.child_watch_source_new()	Creates a new child_watch source.	function	pid	int	the newly-created child watch source	Source
Glib.chmod()	A wrapper for the POSIX chmod() function. The chmod() function is used to set the permissions of a file system object.	function	filename, mode	str, int	0 if the operation succeeded, -1 on error	int
Glib.clear_error()	If err or err is None, does nothing. Otherwise, calls free() on err and sets err to None.	function	None			None
Glib.close()	This wraps the close() call. In case of error, %errno will be preserved, but the error will also be stored as a Error in error. In case of success, %errno is undefined.	function	fd	int	True on success, False if there was an error.	bool
Glib.closefrom()	Close every file descriptor equal to or greater than lowfd.	function	lowfd	int	0 on success, -1 with errno set on error	int
Glib.compute_checksum_for_bytes()	Computes the checksum for a binary data. This is a convenience wrapper for new(), get_string() and free().	function	checksum_type, data	ChecksumType, Bytes	the digest of the binary data as a string in hexadecimal, or None if new() fails for checksum_type. The returned string should be freed with free() when done using it.	str | None
Glib.compute_checksum_for_data()	Computes the checksum for a binary data of length. This is a convenience wrapper for new(), get_string() and free().	function	checksum_type, data	ChecksumType, list[int]	the digest of the binary data as a string in hexadecimal, or None if new() fails for checksum_type. The returned string should be freed with free() when done using it.	str | None
Glib.compute_checksum_for_string()	Computes the checksum of a string.	function	checksum_type, str, length	ChecksumType, str, int	the checksum as a hexadecimal string, or None if new() fails for checksum_type. The returned string should be freed with free() when done using it.	str | None
Glib.compute_hmac_for_bytes()	Computes the HMAC for a binary data. This is a convenience wrapper for new(), get_string() and unref().	function	digest_type, key, data	ChecksumType, Bytes, Bytes	the HMAC of the binary data as a string in hexadecimal. The returned string should be freed with free() when done using it.	str
Glib.compute_hmac_for_data()	Computes the HMAC for a binary data of length. This is a convenience wrapper for new(), get_string() and unref().	function	digest_type, key, data	ChecksumType, list[int], list[int]	the HMAC of the binary data as a string in hexadecimal. The returned string should be freed with free() when done using it.	str
Glib.compute_hmac_for_string()	Computes the HMAC for a string.	function	digest_type, key, str, length	ChecksumType, list[int], str, int	the HMAC as a hexadecimal string. The returned string should be freed with free() when done using it.	str
Glib.convert()	Converts a string from one character set to another.	function	str, to_codeset, from_codeset	list[int], str, str	If the conversion was successful, a newly allocated buffer containing the converted string, which must be freed with free(). Otherwise None and error will be set.	tuple[list[int], int]
Glib.convert_error_quark()		function	None			int
Glib.convert_with_fallback()	Converts a string from one character set to another, possibly including fallback sequences for characters not representable in the output. Note that it is not guaranteed that the specification for the fallback sequences in fallback will be honored. Some systems may do an approximate conversion from from_codeset to to_codeset in their iconv() functions, in which case GLib will simply return that approximate conversion.	function	str, to_codeset, from_codeset, fallback	list[int], str, str, str	If the conversion was successful, a newly allocated buffer containing the converted string, which must be freed with free(). Otherwise None and error will be set.	tuple[list[int], int]
Glib.creat()	A wrapper for the POSIX creat() function. The creat() function is used to convert a pathname into a file descriptor, creating a file if necessary.	function	filename, mode	str, int	a new file descriptor, or -1 if an error occurred. The return value can be used exactly like the return value from creat().	int
Glib.datalist_foreach()	Calls the given function for each data element of the datalist. The function is called with each data element’s Quark id and data, together with the given user_data parameter. Note that this function is NOT thread-safe. So unless datalist can be protected from any modifications during invocation of this function, it should not be called.	function	datalist, func, user_data	Data, Callable[[int, Any, Any], None], Any		None
Glib.datalist_get_data()	Gets a data element, using its string identifier. This is slower than datalist_id_get_data() because it compares strings.	function	datalist, key	Data, str	the data element, or None if it is not found.	Any | None
Glib.datalist_get_flags()	Gets flags values packed in together with the datalist. See datalist_set_flags().	function	datalist	Data	the flags of the datalist	int
Glib.datalist_id_get_data()	Retrieves the data element corresponding to key_id.	function	datalist, key_id	Data, int	the data element, or None if it is not found.	Any | None
Glib.datalist_id_remove_multiple()	Removes multiple keys from a datalist.	function	datalist, keys	Data, list[int]		None
Glib.datalist_set_flags()	Turns on flag values for a data list. This function is used to keep a small number of boolean flags in an object with a data list without using any additional space. It is not generally useful except in circumstances where space is very tight. (It is used in the base GObject type, for example.)	function	datalist, flags	Data, int		None
Glib.datalist_unset_flags()	Turns off flag values for a data list. See datalist_unset_flags()	function	datalist, flags	Data, int		None
Glib.dataset_destroy()	Destroys the dataset, freeing all memory allocated, and calling any destroy functions set for data elements.	function	dataset_location	Any		None
Glib.dataset_foreach()	Calls the given function for each data element which is associated with the given location. Note that this function is NOT thread-safe. So unless dataset_location can be protected from any modifications during invocation of this function, it should not be called.	function	dataset_location, func, user_data	Any, Callable[[int, Any, Any], None], Any		None
Glib.dataset_id_get_data()	Gets the data element corresponding to a Quark.	function	dataset_location, key_id	Any, int	the data element corresponding to the Quark, or None if it is not found.	Any | None
Glib.date_get_days_in_month()	month	function	month, year	DateMonth, int		int
Glib.date_get_monday_weeks_in_year()	year	function	year	int		int
Glib.date_get_sunday_weeks_in_year()	year	function	year	int		int
Glib.date_is_leap_year()	year	function	year	int		bool
Glib.date_strftime()	s	function	s, slen, format, date	str, int, str, Date		int
Glib.date_valid_day()	day	function	day	int		bool
Glib.date_valid_dmy()	day	function	day, month, year	int, DateMonth, int		bool
Glib.date_valid_julian()	julian_date	function	julian_date	int		bool
Glib.date_valid_month()	month	function	month	DateMonth		bool
Glib.date_valid_weekday()	weekday	function	weekday	DateWeekday		bool
Glib.date_valid_year()	year	function	year	int		bool
Glib.dcgettext()	This is a variant of dgettext() that allows specifying a locale category instead of always using LC_MESSAGES. See dgettext() for more information about how this functions differs from calling dcgettext() directly.	function	domain, msgid, category	str | None, str, int	the translated string for the given locale category	str
Glib.dgettext()	This function is a wrapper of dgettext() which does not translate the message if the default domain as set with textdomain() has no translations for the current locale.	function	domain, msgid	str | None, str	The translated string	str
Glib.dir_make_tmp()	tmpl	function	tmpl	str | None		str
Glib.direct_equal()	Compares two gpointer arguments and returns True if they are equal. It can be passed to new() as the key_equal_func parameter, when using opaque pointers compared by pointer value as keys in a HashTable.	function	v1, v2	Any, Any	True if the two keys match.	bool
Glib.direct_hash()	Converts a gpointer to a hash value. It can be passed to new() as the hash_func parameter, when using opaque pointers compared by pointer value as keys in a HashTable.	function	v	Any	a hash value corresponding to the key.	int
Glib.dngettext()	This function is a wrapper of dngettext() which does not translate the message if the default domain as set with textdomain() has no translations for the current locale.	function	domain, msgid, msgid_plural, n	str | None, str, str, int	The translated string	str
Glib.double_equal()	Compares the two float values being pointed to and returns True if they are equal. It can be passed to new() as the key_equal_func parameter, when using non-None pointers to doubles as keys in a HashTable.	function	v1, v2	Any, Any	True if the two keys match.	bool
Glib.double_hash()	Converts a pointer to a float to a hash value. It can be passed to new() as the hash_func parameter, It can be passed to new() as the hash_func parameter, when using non-None pointers to doubles as keys in a HashTable.	function	v	Any	a hash value corresponding to the key.	int
Glib.dpgettext()	This function is a variant of dgettext() which supports a disambiguating message context. GNU gettext uses the ‘004’ character to separate the message context and message id in msgctxtid. If 0 is passed as msgidoffset, this function will fall back to trying to use the deprecated convention of using “|” as a separation character.	function	domain, msgctxtid, msgidoffset	str | None, str, int	The translated string	str
Glib.dpgettext2()	This function is a variant of dgettext() which supports a disambiguating message context. GNU gettext uses the ‘004’ character to separate the message context and message id in msgctxtid.	function	domain, context, msgid	str | None, str, str	The translated string	str
Glib.environ_getenv()	Returns the value of the environment variable variable in the provided list envp.	function	envp, variable	list[str] | None, str	the value of the environment variable, or None if the environment variable is not set in envp. The returned string is owned by envp, and will be freed if variable is set or unset again.	str | None
Glib.environ_setenv()	Sets the environment variable variable in the provided list envp to value.	function	envp, variable, value, overwrite	list[str] | None, str, str, bool	the updated environment list. Free it using strfreev().	list[str]
Glib.environ_unsetenv()	Removes the environment variable variable from the provided environment envp.	function	envp, variable	list[str] | None, str	the updated environment list. Free it using strfreev().	list[str]
Glib.error_domain_register()	error_type_name	function	error_type_name, error_type_private_size, error_type_init, error_type_copy, error_type_clear	str, int, Callable[[GError], None], Callable[[GError, GError], None], Callable[[GError], None]		int
Glib.error_domain_register_static()	error_type_name	function	error_type_name, error_type_private_size, error_type_init, error_type_copy, error_type_clear	str, int, Callable[[GError], None], Callable[[GError, GError], None], Callable[[GError], None]		int
Glib.fdwalk_set_cloexec()	Mark every file descriptor equal to or greater than lowfd to be closed at the next execve() or similar, as if via the FD_CLOEXEC flag.	function	lowfd	int	0 on success, -1 with errno set on error	int
Glib.file_error_from_errno()	Gets a FileError constant based on the passed-in err_no.	function	err_no	int	FileError corresponding to the given err_no	FileError
Glib.file_error_quark()		function	None			int
Glib.file_get_contents()	Reads an entire file into allocated memory, with good error checking.	function	filename	str	True on success, False if an error occurred	tuple[bool, list[int]]
Glib.file_open_tmp()	Opens a file for writing in the preferred directory for temporary files (as returned by get_tmp_dir()).	function	tmpl	str | None	A file handle (as from open()) to the file opened for reading and writing. The file is opened in binary mode on platforms where there is a difference. The file handle should be closed with close(). In case of errors, -1 is returned and error will be set.	tuple[int, str]
Glib.file_read_link()	Reads the contents of the symbolic link filename like the POSIX readlink() function.	function	filename	str	A newly-allocated string with the contents of the symbolic link, or None if an error occurred.	str
Glib.file_set_contents()	Writes all of contents to a file named filename. This is a convenience wrapper around calling file_set_contents_full() with flags set to G_FILE_SET_CONTENTS_CONSISTENT | G_FILE_SET_CONTENTS_ONLY_EXISTING and mode set to 0666.	function	filename, contents	str, list[int]	True on success, False if an error occurred	bool
Glib.file_set_contents_full()	Writes all of contents to a file named filename, with good error checking. If a file called filename already exists it will be overwritten.	function	filename, contents, flags, mode	str, list[int], FileSetContentsFlags, int	True on success, False if an error occurred	bool
Glib.file_test()	Returns True if any of the tests in the bitfield test are True. For example, (G_FILE_TEST_EXISTS | G_FILE_TEST_IS_DIR) will return True if the file exists; the check whether it’s a directory doesn’t matter since the existence test is True. With the current set of available tests, there’s no point passing in more than one test at a time.	function	filename, test	str, FileTest	whether a test was True	bool
Glib.filename_display_basename()	Returns the display basename for the particular filename, guaranteed to be valid UTF-8. The display name might not be identical to the filename, for instance there might be problems converting it to UTF-8, and some files can be translated in the display.	function	filename	str	a newly allocated string containing a rendition of the basename of the filename in valid UTF-8	str
Glib.filename_display_name()	Converts a filename into a valid UTF-8 string. The conversion is not necessarily reversible, so you should keep the original around and use the return value of this function only for display purposes. Unlike filename_to_utf8(), the result is guaranteed to be non-None even if the filename actually isn’t in the GLib file name encoding.	function	filename	str	a newly allocated string containing a rendition of the filename in valid UTF-8	str
Glib.filename_from_uri()	Converts an escaped ASCII-encoded URI to a local filename in the encoding used for filenames.	function	uri	str	a newly-allocated string holding the resulting filename, or None on an error.	tuple[str, str | None]
Glib.filename_from_utf8()	Converts a string from UTF-8 to the encoding GLib uses for filenames. Note that on Windows GLib uses UTF-8 for filenames; on other platforms, this function indirectly depends on the [current locale][setlocale].	function	utf8string, len	Any, Any	The converted string, or None on an error.	
Glib.filename_to_uri()	Converts an absolute filename to an escaped ASCII-encoded URI, with the path component following Section 3.3. of RFC 2396.	function	filename, hostname	str, str | None	a newly-allocated string holding the resulting URI, or None on an error.	str
Glib.filename_to_utf8()	Converts a string which is in the encoding used by GLib for filenames into a UTF-8 string. Note that on Windows GLib uses UTF-8 for filenames; on other platforms, this function indirectly depends on the [current locale][setlocale].	function	opsysstring, len	str, int	The converted string, or None on an error.	tuple[str, int, int]
Glib.find_program_in_path()	Locates the first executable named program in the user’s path, in the same way that execvp() would locate it. Returns an allocated string with the absolute path name, or None if the program is not found in the path. If program is already an absolute path, returns a copy of program if program exists and is executable, and None otherwise.	function	program	str	a newly-allocated string with the absolute path, or None	str | None
Glib.fopen()	A wrapper for the stdio fopen() function. The fopen() function opens a file and associates a new stream with it.	function	filename, mode	str, str	A FILE* if the file was successfully opened, or None if an error occurred	Any | None
Glib.format_size()	Formats a size (for example the size of a file) into a human readable string. Sizes are rounded to the nearest size prefix (kB, MB, GB) and are displayed rounded to the nearest tenth. E.g. the file size 3292528 bytes will be converted into the string “3.2 MB”. The returned string is UTF-8, and may use a non-breaking space to separate the number and units, to ensure they aren’t separated when line wrapped.	function	size	int	a newly-allocated formatted string containing a human readable file size	str
Glib.format_size_for_display()	Formats a size (for example the size of a file) into a human readable string. Sizes are rounded to the nearest size prefix (KB, MB, GB) and are displayed rounded to the nearest tenth. E.g. the file size 3292528 bytes will be converted into the string “3.1 MB”.	function	size	int	a newly-allocated formatted string containing a human readable file size	str
Glib.format_size_full()	Formats a size.	function	size, flags	int, FormatSizeFlags	a newly-allocated formatted string containing a human readable file size	str
Glib.free()	Frees the memory pointed to by mem.	function	mem	Any		None
Glib.free_sized()	Frees the memory pointed to by mem, assuming it is has the given size.	function	mem, size	Any, int		None
Glib.freopen()	A wrapper for the POSIX freopen() function. The freopen() function opens a file and associates it with an existing stream.	function	filename, mode, stream	str, str, Any	A FILE* if the file was successfully opened, or None if an error occurred.	Any | None
Glib.fsync()	A wrapper for the POSIX fsync() function. On Windows, _commit() will be used. On macOS, fcntl(F_FULLFSYNC) will be used. The fsync() function is used to synchronize a file’s in-core state with that of the disk.	function	fd	int	0 on success, or -1 if an error occurred. The return value can be used exactly like the return value from fsync().	int
Glib.get_application_name()	Gets a human-readable name for the application, as set by set_application_name(). This name should be localized if possible, and is intended for display to the user. Contrast with get_prgname(), which gets a non-localized name. If set_application_name() has not been called, returns the result of get_prgname() (which may be None if set_prgname() has also not been called).	function	None		human-readable application name. May return None	str | None
Glib.get_charset()	Obtains the character set for the [current locale][setlocale]; you might use this character set as an argument to convert(), to convert from the current locale’s encoding to some other encoding. (Frequently locale_to_utf8() and locale_from_utf8() are nice shortcuts, though.)	function	None		True if the returned charset is UTF-8	tuple[bool, str]
Glib.get_codeset()	Gets the character set for the current locale.	function	None		a newly allocated string containing the name of the character set. This string must be freed with free().	str
Glib.get_console_charset()	Obtains the character set used by the console attached to the process, which is suitable for printing output to the terminal.	function	None		True if the returned charset is UTF-8	tuple[bool, str]
Glib.get_current_dir()	Gets the current directory.	function	None		the current directory	str
Glib.get_current_time()	Equivalent to the UNIX gettimeofday() function, but portable.	function	None			
Glib.get_environ()	Gets the list of environment variables for the current process.	function	None		the list of environment variables	list[str]
